COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,lat,lng
Afghanistan,AFG,EMRO,REPORTING,3/12/2023,16248588,14258889,41.74,36.629,13542327,34.788,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,973787,2.501,33.93911,67.709953
Albania,ALB,EURO,REPORTING,2/5/2023,3058102,1345763,106.3,47.287,1274719,44.791,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,390033,13.705,41.153332,20.168331
Algeria,DZA,AFRO,REPORTING,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,575651,1.313,28.033886,1.659626
American Samoa,ASM,WPRO,REPORTING,9/26/2022,111316,44671,201.67,80.93,42547,77.082,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,24160,43.77,-14.270972,-170.132217
Andorra,AND,EURO,REPORTING,1/29/2023,156766,57903,202.9,76.011,53492,70.221,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,43049,56.512,42.546245,1.601554
Angola,AGO,AFRO,REPORTING,3/5/2023,24593241,15349780,74.828,46.704,8504173,25.875,SII - Covishield,3/10/2021,1,1736921,5.285,-11.202692,17.873887
Anguilla,AIA,AMRO,REPORTING,2/10/2023,24489,10854,163.238,72.35,10380,69.191,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2,3003,20.017,18.220554,-63.068615
Antigua and Barbuda,ATG,AMRO,REPORTING,2/10/2023,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6,9838,10.046,17.060816,-61.796428
Argentina,ARG,AMRO,REPORTING,10/7/2022,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,30810184,68.17,-38.416097,-63.616672
Armenia,ARM,EURO,REPORTING,5/22/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,40725,1.374,40.069099,45.038189
Aruba,ABW,AMRO,REPORTING,2/10/2023,216561,90248,202.837,84.529,84085,78.756,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,35659,33.399,12.52111,-69.968338
Australia,AUS,WPRO,REPORTING,2/22/2023,64862790,22235135,254.365,87.197,21652146,84.911,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14355499,56.296,-25.274398,133.775136
Austria,AUT,EURO,REPORTING,2/5/2023,20369447,6898336,228.8,77.609,6680457,75.052,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",12/30/2020,10,5402254,60.692,47.516231,14.550072
Azerbaijan,AZE,EURO,REPORTING,2/5/2023,13804660,5426071,136.2,53.516,4881095,48.141,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3497496,34.495,40.143105,47.576927
Bahamas,BHS,AMRO,REPORTING,2/10/2023,364701,174147,92.742,44.285,165633,42.12,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4,33585,8.54,25.03428,-77.39628
Bahrain,BHR,EMRO,REPORTING,12/21/2022,3476633,1241174,204.319,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,1008663,59.278,25.930414,50.637772
Bangladesh,BGD,SEARO,REPORTING,2/14/2023,354990838,151141568,215.552,91.774,136721925,83.018,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,67127345,40.76,23.684994,90.356331
Barbados,BRB,AMRO,REPORTING,2/10/2023,381633,163833,132.8,57.01,155010,53.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,62790,21.849,13.193887,-59.543198
Belarus,BLR,EURO,REPORTING,1/29/2023,19047714,6528944,201.6,69.094,6410767,67.844,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,5609117,59.36,53.709807,27.953389
